uf;municipio;cod_ibge;cultura;safra;solo;decendio;risco
GO;Rio Verde;5218805;Soja;2025/2026;AD1;1;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;2;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;3;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;4;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;5;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;6;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;7;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;8;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;9;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;10;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;11;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;12;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;13;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;14;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;15;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;16;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;17;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;18;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;19;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;20;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;21;INAPTO
GO;Rio Verde;5218805;Soja;2025/2026;AD1;22;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;23;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;24;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;25;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;26;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;27;40
GO;Rio Verde;5218805;Soja;2025/2026;AD1;28;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;29;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;30;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;31;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;32;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;33;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;34;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;35;30
GO;Rio Verde;5218805;Soja;2025/2026;AD1;36;30
GO;Rio Verde;5218805;Soja;2025/2026;AD2;1;20
GO;Rio Verde;5218805;Soja;2025/2026;AD2;2;20
GO;Rio Verde;5218805;Soja;2025/2026;AD2;3;20
GO;Rio Verde;5218805;Soja;2025/2026;AD2;4;20
